MarketNames,Code
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,90741
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,92741
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,96742
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,97741
EURO FX - CHICAGO MERCANTILE EXCHANGE,99741
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,232741
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,95741
BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,102741
NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE,112741
SO AFRICAN RAND - CHICAGO MERCANTILE EXCHANGE,122741
DJIA Consolidated - CHICAGO BOARD OF TRADE,12460+
S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+
E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,13874A
NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,20974+
MSCI EAFE  - ICE FUTURES U.S.,244041
MSCI EM INDEX - ICE FUTURES U.S.,244042
UST BOND - CHICAGO BOARD OF TRADE,20601
ULTRA UST BOND - CHICAGO BOARD OF TRADE,20604
UST 2Y NOTE - CHICAGO BOARD OF TRADE,42601
UST 10Y NOTE - CHICAGO BOARD OF TRADE,43602
ULTRA UST 10Y - CHICAGO BOARD OF TRADE,43607
UST 5Y NOTE - CHICAGO BOARD OF TRADE,44601
FED FUNDS - CHICAGO BOARD OF TRADE,45601
EURODOLLARS-3M - CHICAGO MERCANTILE EXCHANGE,132741
SOFR-3M - CHICAGO MERCANTILE EXCHANGE,134741
SOFR-1M - CHICAGO MERCANTILE EXCHANGE,134742
BITCOIN - CHICAGO MERCANTILE EXCHANGE,133741
USD INDEX - ICE FUTURES U.S.,98662
VIX FUTURES - CBOE FUTURES EXCHANGE,1170E1
BBG COMMODITY - CHICAGO BOARD OF TRADE,221602